año,region,municipio,transferencia_total,fondo_comun_municipal,otras_transferencias,poblacion_estimada
2025,Atacama,Municipio 1 - Atacama,379502376,227701425,151800950,268618
2025,Atacama,Municipio 2 - Atacama,73571889,44143133,29428755,263550
2025,Atacama,Municipio 3 - Atacama,406527667,243916600,162611066,200340
2025,Atacama,Municipio 4 - Atacama,431428018,258856811,172571207,226428
2025,Atacama,Municipio 5 - Atacama,236969171,142181503,94787668,213286
2025,Atacama,Municipio 6 - Atacama,616663353,369998012,246665341,179899
2025,Atacama,Municipio 7 - Atacama,757140177,454284106,302856071,58585
2025,Atacama,Municipio 8 - Atacama,518265536,310959321,207306214,124556
2025,Atacama,Municipio 9 - Atacama,703595442,422157265,281438177,258307
2025,Atacama,Municipio 10 - Atacama,189927544,113956526,75971017,167906
2025,Atacama,Municipio 11 - Atacama,293258765,175955259,117303506,90766
2025,Atacama,Municipio 12 - Atacama,722068474,433241084,288827389,59262
2025,Atacama,Municipio 13 - Atacama,730121331,438072798,292048532,176152
2025,Atacama,Municipio 14 - Atacama,220951371,132570823,88380548,152848
2025,Atacama,Municipio 15 - Atacama,663511074,398106644,265404429,70016
2025,Atacama,Municipio 16 - Atacama,278585943,167151566,111434377,36959
2025,Atacama,Municipio 17 - Atacama,450567064,270340238,180226825,280892
2025,Coquimbo,Municipio 1 - Coquimbo,139899025,83939415,55959610,180838
2025,Coquimbo,Municipio 2 - Coquimbo,176218281,105730968,70487312,76087
2025,Coquimbo,Municipio 3 - Coquimbo,439092966,263455779,175637186,83840
2025,Coquimbo,Municipio 4 - Coquimbo,352877128,211726276,141150851,328149
2025,Coquimbo,Municipio 5 - Coquimbo,778836562,467301937,311534624,208075
2025,Coquimbo,Municipio 6 - Coquimbo,235157047,141094228,94062818,80318
2025,Coquimbo,Municipio 7 - Coquimbo,422936379,253761827,169174551,82172
2025,Coquimbo,Municipio 8 - Coquimbo,263630370,158178222,105452148,108264
2025,Valparaíso,Municipio 1 - Valparaíso,782461216,469476730,312984486,127859
2025,Valparaíso,Municipio 2 - Valparaíso,88609063,53165438,35443625,284536
2025,Valparaíso,Municipio 3 - Valparaíso,525763508,315458105,210305403,192789
2025,Valparaíso,Municipio 4 - Valparaíso,158671154,95202692,63468461,328003
2025,Valparaíso,Municipio 5 - Valparaíso,385837373,231502424,154334949,172381
2025,Valparaíso,Municipio 6 - Valparaíso,231541453,138924872,92616581,85467
2025,Valparaíso,Municipio 7 - Valparaíso,110639994,66383996,44255997,124751
2025,Valparaíso,Municipio 8 - Valparaíso,228228157,136936894,91291263,302486
2025,Valparaíso,Municipio 9 - Valparaíso,652354817,391412890,260941926,121081
2025,Valparaíso,Municipio 10 - Valparaíso,525147283,315088369,210058913,49698
2025,Valparaíso,Municipio 11 - Valparaíso,662323904,397394342,264929561,37671
2025,Valparaíso,Municipio 12 - Valparaíso,676476871,405886123,270590748,101202
2025,Valparaíso,Municipio 13 - Valparaíso,189888882,113933329,75955553,30708
2025,Valparaíso,Municipio 14 - Valparaíso,693769103,416261462,277507641,148883
2025,Valparaíso,Municipio 15 - Valparaíso,558173271,334903962,223269308,49754
2025,Valparaíso,Municipio 16 - Valparaíso,657125784,394275470,262850313,157483
2025,Valparaíso,Municipio 17 - Valparaíso,533879592,320327755,213551837,229835
2025,Valparaíso,Municipio 18 - Valparaíso,755392448,453235469,302156979,86295
2025,Valparaíso,Municipio 19 - Valparaíso,438313512,262988107,175325405,288255
2025,Valparaíso,Municipio 20 - Valparaíso,153140708,91884424,61256283,23155
2025,Valparaíso,Municipio 21 - Valparaíso,601412089,360847253,240564835,62254
2025,Valparaíso,Municipio 22 - Valparaíso,456085980,273651588,182434392,45306
2025,Valparaíso,Municipio 23 - Valparaíso,221412516,132847509,88565006,135975
2025,Valparaíso,Municipio 24 - Valparaíso,662916650,397749990,265166660,122512
2025,Metropolitana,Municipio 1 - Metropolitana,231389218,138833530,92555687,298076
2025,Metropolitana,Municipio 2 - Metropolitana,725313542,435188125,290125417,207506
2025,Metropolitana,Municipio 3 - Metropolitana,191530331,114918198,76612132,284544
2025,Metropolitana,Municipio 4 - Metropolitana,311907180,187144308,124762872,30151
2025,Metropolitana,Municipio 5 - Metropolitana,684995856,410997514,273998342,19499
2025,Metropolitana,Municipio 6 - Metropolitana,715314818,429188890,286125927,336184
2025,Metropolitana,Municipio 7 - Metropolitana,531523734,318914240,212609493,158946
2025,Metropolitana,Municipio 8 - Metropolitana,751726245,451035747,300690498,282683
2025,Metropolitana,Municipio 9 - Metropolitana,723915641,434349384,289566256,194426
2025,Metropolitana,Municipio 10 - Metropolitana,329212074,197527244,131684829,315504
2025,Metropolitana,Municipio 11 - Metropolitana,547626326,328575796,219050530,258548
2025,Metropolitana,Municipio 12 - Metropolitana,262940731,157764438,105176292,298501
2025,Metropolitana,Municipio 13 - Metropolitana,461550342,276930205,184620136,17869
2025,Metropolitana,Municipio 14 - Metropolitana,386318107,231790864,154527242,327252
2025,Metropolitana,Municipio 15 - Metropolitana,218201982,130921189,87280792,105272
2025,Metropolitana,Municipio 16 - Metropolitana,63556522,38133913,25422609,150059
2025,Metropolitana,Municipio 17 - Metropolitana,324851588,194910953,129940635,143391
2025,Metropolitana,Municipio 18 - Metropolitana,686917557,412150534,274767023,101416
2025,Metropolitana,Municipio 19 - Metropolitana,281045593,168627356,112418237,271687
2025,Metropolitana,Municipio 20 - Metropolitana,120256075,72153645,48102430,186890
2025,Metropolitana,Municipio 21 - Metropolitana,527249463,316349678,210899785,131381
2025,Metropolitana,Municipio 22 - Metropolitana,779757916,467854749,311903166,149508
2025,Metropolitana,Municipio 23 - Metropolitana,415056614,249033968,166022645,165810
2025,Metropolitana,Municipio 24 - Metropolitana,375795774,225477464,150318309,331189
2025,O'Higgins,Municipio 1 - O'Higgins,482677913,289606748,193071165,151672
2025,O'Higgins,Municipio 2 - O'Higgins,196432240,117859344,78572896,186836
2025,O'Higgins,Municipio 3 - O'Higgins,424395034,254637020,169758013,117946
2025,O'Higgins,Municipio 4 - O'Higgins,626415510,375849306,250566204,120983
2025,O'Higgins,Municipio 5 - O'Higgins,182833009,109699805,73133203,139123
2025,O'Higgins,Municipio 6 - O'Higgins,402458385,241475031,160983354,97989
2025,O'Higgins,Municipio 7 - O'Higgins,736148292,441688975,294459317,193274
2025,O'Higgins,Municipio 8 - O'Higgins,610789080,366473448,244315632,310972
2025,Maule,Municipio 1 - Maule,464573725,278744235,185829490,130294
2025,Maule,Municipio 2 - Maule,772714982,463628989,309085993,139019
2025,Maule,Municipio 3 - Maule,270836669,162502001,108334667,283246
2025,Maule,Municipio 4 - Maule,251356142,150813685,100542457,231386
2025,Maule,Municipio 5 - Maule,177119560,106271736,70847824,180656
2025,Maule,Municipio 6 - Maule,346018600,207611160,138407440,51631
2025,Maule,Municipio 7 - Maule,206689038,124013422,82675615,19014
2025,Maule,Municipio 8 - Maule,792540387,475524232,317016155,312921
2025,Maule,Municipio 9 - Maule,240622736,144373642,96249094,25729
2025,Maule,Municipio 10 - Maule,708029803,424817882,283211921,212392
2025,Maule,Municipio 11 - Maule,686502346,411901407,274600938,120864
2025,Maule,Municipio 12 - Maule,576863062,346117837,230745225,69748
2025,Maule,Municipio 13 - Maule,272382607,163429564,108953043,250362
2025,Maule,Municipio 14 - Maule,242155207,145293124,96862083,287791
2025,Maule,Municipio 15 - Maule,734930414,440958248,293972165,263710
2025,Maule,Municipio 16 - Maule,426137221,255682332,170454888,347460
2025,Maule,Municipio 17 - Maule,195705465,117423279,78282186,92575
2025,Maule,Municipio 18 - Maule,576475157,345885094,230590063,85031
2025,Maule,Municipio 19 - Maule,88076398,52845838,35230559,102922
2025,Maule,Municipio 20 - Maule,303496367,182097820,121398547,47097
2025,Maule,Municipio 21 - Maule,120486454,72291872,48194581,157038
2025,Maule,Municipio 22 - Maule,554019601,332411760,221607840,133834
2025,Maule,Municipio 23 - Maule,399198513,239519108,159679405,195798
2025,Maule,Municipio 24 - Maule,786380666,471828399,314552266,299821
2025,Ñuble,Municipio 1 - Ñuble,78011141,46806684,31204456,199078
2025,Ñuble,Municipio 2 - Ñuble,320142981,192085788,128057192,128632
2025,Ñuble,Municipio 3 - Ñuble,670901752,402541051,268360701,266451
2025,Ñuble,Municipio 4 - Ñuble,211865770,127119462,84746308,102235
2025,Ñuble,Municipio 5 - Ñuble,681517306,408910383,272606922,204407
2025,Ñuble,Municipio 6 - Ñuble,448515973,269109584,179406389,226810
2025,Ñuble,Municipio 7 - Ñuble,528072426,316843455,211228970,88523
2025,Ñuble,Municipio 8 - Ñuble,149559066,89735440,59823626,248841
2025,Ñuble,Municipio 9 - Ñuble,437225261,262335156,174890104,237866
2025,Ñuble,Municipio 10 - Ñuble,646389646,387833787,258555858,225706
2025,Ñuble,Municipio 11 - Ñuble,379228565,227537139,151691426,40945
2025,Ñuble,Municipio 12 - Ñuble,69013057,41407834,27605223,23308
2025,Ñuble,Municipio 13 - Ñuble,110654724,66392834,44261889,235552
2025,Ñuble,Municipio 14 - Ñuble,566374925,339824955,226549970,343761
2025,Ñuble,Municipio 15 - Ñuble,736410295,441846177,294564118,192247
2025,Ñuble,Municipio 16 - Ñuble,461919998,277151999,184767999,35056
2025,Ñuble,Municipio 17 - Ñuble,545148032,327088819,218059213,129548
2025,Ñuble,Municipio 18 - Ñuble,528702945,317221767,211481178,44375
2025,Ñuble,Municipio 19 - Ñuble,465765539,279459323,186306215,128429
2025,Ñuble,Municipio 20 - Ñuble,597529487,358517692,239011794,231139
2025,Ñuble,Municipio 21 - Ñuble,474527907,284716744,189811163,346186
2025,Ñuble,Municipio 22 - Ñuble,618384582,371030749,247353833,24435
2025,Ñuble,Municipio 23 - Ñuble,84501981,50701188,33800792,66293
2025,Ñuble,Municipio 24 - Ñuble,691595438,414957262,276638175,206475
2025,Biobío,Municipio 1 - Biobío,405630371,243378223,162252148,254833
2025,Biobío,Municipio 2 - Biobío,622523317,373513990,249009326,136172
2025,Biobío,Municipio 3 - Biobío,405103828,243062296,162041531,333717
2025,Biobío,Municipio 4 - Biobío,375388736,225233242,150155494,303790
2025,Biobío,Municipio 5 - Biobío,86044193,51626515,34417677,225677
2025,Biobío,Municipio 6 - Biobío,526320238,315792142,210528095,83385
2025,Biobío,Municipio 7 - Biobío,245670217,147402130,98268087,211489
2025,Biobío,Municipio 8 - Biobío,519394936,311636962,207757974,286967
2025,Biobío,Municipio 9 - Biobío,692367380,415420428,276946952,24540
2025,Biobío,Municipio 10 - Biobío,562972827,337783696,225189130,42663
2025,Biobío,Municipio 11 - Biobío,102926560,61755936,41170624,177049
2025,Biobío,Municipio 12 - Biobío,69883482,41930089,27953393,234295
2025,Araucanía,Municipio 1 - Araucanía,341127444,204676466,136450977,19000
2025,Araucanía,Municipio 2 - Araucanía,658403132,395041879,263361253,266492
2025,Araucanía,Municipio 3 - Araucanía,519454752,311672851,207781901,53304
2025,Araucanía,Municipio 4 - Araucanía,538613578,323168147,215445431,97986
2025,Araucanía,Municipio 5 - Araucanía,196843351,118106010,78737340,123940
2025,Araucanía,Municipio 6 - Araucanía,210941839,126565103,84376735,280517
2025,Araucanía,Municipio 7 - Araucanía,63666369,38199821,25466547,115386
2025,Araucanía,Municipio 8 - Araucanía,302415661,181449396,120966264,40351
2025,Araucanía,Municipio 9 - Araucanía,339047465,203428479,135618986,222869
2025,Araucanía,Municipio 10 - Araucanía,660851361,396510817,264340544,297502
2025,Araucanía,Municipio 11 - Araucanía,138623620,83174172,55449448,315657
2025,Araucanía,Municipio 12 - Araucanía,521707135,313024281,208682854,146484
2025,Araucanía,Municipio 13 - Araucanía,79389745,47633847,31755898,75692
2025,Araucanía,Municipio 14 - Araucanía,775685413,465411248,310274165,321569
2025,Araucanía,Municipio 15 - Araucanía,367603206,220561924,147041282,181807
2025,Araucanía,Municipio 16 - Araucanía,655126054,393075632,262050421,129352
2025,Araucanía,Municipio 17 - Araucanía,598735816,359241489,239494326,32955
2025,Araucanía,Municipio 18 - Araucanía,329013564,197408138,131605425,211582
2025,Araucanía,Municipio 19 - Araucanía,485408009,291244805,194163203,234798
2025,Los Ríos,Municipio 1 - Los Ríos,228947644,137368586,91579057,166222
2025,Los Ríos,Municipio 2 - Los Ríos,613153300,367891980,245261320,127856
2025,Los Ríos,Municipio 3 - Los Ríos,228677114,137206268,91470845,201141
2025,Los Ríos,Municipio 4 - Los Ríos,726914680,436148808,290765872,29397
2025,Los Ríos,Municipio 5 - Los Ríos,422420893,253452535,168968357,134180
2025,Los Ríos,Municipio 6 - Los Ríos,721642421,432985452,288656968,193352
2025,Los Ríos,Municipio 7 - Los Ríos,90113972,54068383,36045589,210004
2025,Los Ríos,Municipio 8 - Los Ríos,729036482,437421889,291614592,215968
2025,Los Ríos,Municipio 9 - Los Ríos,289485228,173691136,115794091,66934
2025,Los Ríos,Municipio 10 - Los Ríos,762955360,457773216,305182144,331242
2025,Los Ríos,Municipio 11 - Los Ríos,419769243,251861545,167907697,154407
2025,Los Ríos,Municipio 12 - Los Ríos,386334141,231800484,154533656,117795
2025,Los Lagos,Municipio 1 - Los Lagos,759645907,455787544,303858362,212775
2025,Los Lagos,Municipio 2 - Los Lagos,642213607,385328164,256885442,99076
2025,Los Lagos,Municipio 3 - Los Lagos,748196829,448918097,299278731,36689
2025,Los Lagos,Municipio 4 - Los Lagos,93169070,55901442,37267628,24348
2025,Los Lagos,Municipio 5 - Los Lagos,602776667,361666000,241110667,89460
2025,Los Lagos,Municipio 6 - Los Lagos,313186259,187911755,125274503,21801
2025,Los Lagos,Municipio 7 - Los Lagos,776488957,465893374,310595583,194208
2025,Los Lagos,Municipio 8 - Los Lagos,621132973,372679784,248453189,246915
2025,Los Lagos,Municipio 9 - Los Lagos,700151528,420090917,280060611,16542
2025,Los Lagos,Municipio 10 - Los Lagos,369568606,221741163,147827442,196415
2025,Los Lagos,Municipio 11 - Los Lagos,104572254,62743352,41828901,234930
2025,Aysén,Municipio 1 - Aysén,111011585,66606951,44404634,331837
2025,Aysén,Municipio 2 - Aysén,789979683,473987810,315991873,28807
2025,Aysén,Municipio 3 - Aysén,697353891,418412334,278941556,253067
2025,Aysén,Municipio 4 - Aysén,227513895,136508337,91005558,183152
2025,Aysén,Municipio 5 - Aysén,493916554,296349932,197566621,181981
2025,Aysén,Municipio 6 - Aysén,581135896,348681538,232454358,218196
2025,Aysén,Municipio 7 - Aysén,333490692,200094415,133396277,41790
2025,Aysén,Municipio 8 - Aysén,368166506,220899904,147266602,239786
2025,Aysén,Municipio 9 - Aysén,133398111,80038867,53359244,321626
2025,Magallanes,Municipio 1 - Magallanes,58515233,35109140,23406093,155507
2025,Magallanes,Municipio 2 - Magallanes,478604768,287162861,191441907,45355
2025,Magallanes,Municipio 3 - Magallanes,139113437,83468062,55645374,171542
2025,Magallanes,Municipio 4 - Magallanes,536907726,322144635,214763090,329368
2025,Magallanes,Municipio 5 - Magallanes,560779570,336467742,224311828,76629
2025,Magallanes,Municipio 6 - Magallanes,350167169,210100301,140066867,245907
2025,Magallanes,Municipio 7 - Magallanes,264284064,158570438,105713625,310735
2025,Magallanes,Municipio 8 - Magallanes,446277590,267766554,178511036,257804
2025,Magallanes,Municipio 9 - Magallanes,772416904,463450142,308966761,313539
2025,Magallanes,Municipio 10 - Magallanes,783425501,470055300,313370200,311764
2025,Magallanes,Municipio 11 - Magallanes,292014791,175208874,116805916,297703
2025,Magallanes,Municipio 12 - Magallanes,445775831,267465499,178310332,207714
2025,Magallanes,Municipio 13 - Magallanes,739336786,443602071,295734714,274747
2025,Magallanes,Municipio 14 - Magallanes,465390713,279234427,186156285,290987
2025,Magallanes,Municipio 15 - Magallanes,106575910,63945546,42630364,348870
2025,Magallanes,Municipio 16 - Magallanes,522048978,313229387,208819591,315557
2025,Magallanes,Municipio 17 - Magallanes,270870460,162522276,108348184,125133
2025,Magallanes,Municipio 18 - Magallanes,488235733,292941440,195294293,165159
2025,Magallanes,Municipio 19 - Magallanes,602825529,361695317,241130211,26023
2025,Magallanes,Municipio 20 - Magallanes,717697837,430618702,287079135,301103
