año,region,sector_inversion,proyecto,inversion_total,inversion_ejecutada,porcentaje_avance,fecha_inicio,fecha_termino_estimada
2025,Arica y Parinacota,Desarrollo Social,Proyecto Desarrollo Social 1 - Arica y Parinacota,1450259490,273682321,18.9,2024-12-01,2025-10-30
2025,Arica y Parinacota,Desarrollo Social,Proyecto Desarrollo Social 2 - Arica y Parinacota,483266484,394640667,81.7,2024-01-01,2025-09-30
2025,Tarapacá,Educación,Proyecto Educación 1 - Tarapacá,1066284313,880807546,82.6,2024-07-01,2025-12-30
2025,Tarapacá,Educación,Proyecto Educación 2 - Tarapacá,879727553,619716079,70.4,2024-04-01,2025-10-30
2025,Tarapacá,Educación,Proyecto Educación 3 - Tarapacá,246261828,81709960,33.2,2024-06-01,2025-09-30
2025,Tarapacá,Educación,Proyecto Educación 4 - Tarapacá,1866425539,1393279766,74.6,2024-09-01,2025-10-30
2025,Tarapacá,Educación,Proyecto Educación 5 - Tarapacá,1755775121,1304431462,74.3,2024-12-01,2025-09-30
2025,Tarapacá,Educación,Proyecto Educación 6 - Tarapacá,1795862097,954453641,53.1,2024-10-01,2025-12-30
2025,Tarapacá,Salud,Proyecto Salud 1 - Tarapacá,776965892,641356404,82.5,2024-01-01,2025-06-30
2025,Tarapacá,Salud,Proyecto Salud 2 - Tarapacá,1330611229,133615058,10.0,2024-09-01,2025-08-30
2025,Tarapacá,Salud,Proyecto Salud 3 - Tarapacá,113209048,57577877,50.9,2024-09-01,2025-11-30
2025,Tarapacá,Salud,Proyecto Salud 4 - Tarapacá,522004839,102256725,19.6,2024-12-01,2025-12-30
2025,Tarapacá,Salud,Proyecto Salud 5 - Tarapacá,419752980,115436844,27.5,2024-08-01,2025-06-30
2025,Tarapacá,Infraestructura,Proyecto Infraestructura 1 - Tarapacá,790896244,693952664,87.7,2024-04-01,2025-09-30
2025,Tarapacá,Infraestructura,Proyecto Infraestructura 2 - Tarapacá,578386362,287920039,49.8,2024-01-01,2025-10-30
2025,Tarapacá,Infraestructura,Proyecto Infraestructura 3 - Tarapacá,641196939,83041132,13.0,2024-01-01,2025-07-30
2025,Tarapacá,Infraestructura,Proyecto Infraestructura 4 - Tarapacá,1055090144,148960792,14.1,2024-05-01,2025-06-30
2025,Tarapacá,Infraestructura,Proyecto Infraestructura 5 - Tarapacá,1305267554,841328947,64.5,2024-05-01,2025-09-30
2025,Tarapacá,Agua Potable,Proyecto Agua Potable 1 - Tarapacá,1972735862,579282478,29.4,2024-04-01,2025-12-30
2025,Tarapacá,Agua Potable,Proyecto Agua Potable 2 - Tarapacá,1547077269,448822640,29.0,2024-06-01,2025-10-30
2025,Tarapacá,Agua Potable,Proyecto Agua Potable 3 - Tarapacá,1301381078,789708970,60.7,2024-11-01,2025-12-30
2025,Tarapacá,Energía,Proyecto Energía 1 - Tarapacá,386363333,195715832,50.7,2024-03-01,2025-09-30
2025,Tarapacá,Energía,Proyecto Energía 2 - Tarapacá,719321919,198671562,27.6,2024-10-01,2025-08-30
2025,Tarapacá,Transporte,Proyecto Transporte 1 - Tarapacá,762465375,134911569,17.7,2024-09-01,2025-06-30
2025,Tarapacá,Transporte,Proyecto Transporte 2 - Tarapacá,855386840,439840837,51.4,2024-08-01,2025-06-30
2025,Tarapacá,Transporte,Proyecto Transporte 3 - Tarapacá,1383811222,952301375,68.8,2024-02-01,2025-12-30
2025,Tarapacá,Transporte,Proyecto Transporte 4 - Tarapacá,1128751150,741169067,65.7,2024-07-01,2025-09-30
2025,Tarapacá,Conectividad,Proyecto Conectividad 1 - Tarapacá,1966119852,1009226451,51.3,2024-01-01,2025-07-30
2025,Tarapacá,Conectividad,Proyecto Conectividad 2 - Tarapacá,1992882029,1738461703,87.2,2024-05-01,2025-10-30
2025,Tarapacá,Conectividad,Proyecto Conectividad 3 - Tarapacá,1777009052,445968296,25.1,2024-09-01,2025-08-30
2025,Tarapacá,Desarrollo Social,Proyecto Desarrollo Social 1 - Tarapacá,1479315789,1209619077,81.8,2024-08-01,2025-11-30
2025,Tarapacá,Desarrollo Social,Proyecto Desarrollo Social 2 - Tarapacá,1581763537,970610151,61.4,2024-11-01,2025-06-30
2025,Tarapacá,Desarrollo Social,Proyecto Desarrollo Social 3 - Tarapacá,407094556,333346670,81.9,2024-04-01,2025-11-30
2025,Tarapacá,Desarrollo Social,Proyecto Desarrollo Social 4 - Tarapacá,117474398,21283686,18.1,2024-03-01,2025-06-30
2025,Antofagasta,Educación,Proyecto Educación 1 - Antofagasta,639449852,220156885,34.4,2024-02-01,2025-11-30
2025,Antofagasta,Educación,Proyecto Educación 2 - Antofagasta,952005871,852584061,89.6,2024-04-01,2025-06-30
2025,Antofagasta,Educación,Proyecto Educación 3 - Antofagasta,134343190,66515325,49.5,2024-04-01,2025-12-30
2025,Antofagasta,Educación,Proyecto Educación 4 - Antofagasta,1469785856,509205301,34.6,2024-12-01,2025-08-30
2025,Antofagasta,Educación,Proyecto Educación 5 - Antofagasta,798660025,249311226,31.2,2024-06-01,2025-11-30
2025,Antofagasta,Educación,Proyecto Educación 6 - Antofagasta,846885676,689057728,81.4,2024-11-01,2025-08-30
2025,Antofagasta,Salud,Proyecto Salud 1 - Antofagasta,765148974,471395038,61.6,2024-01-01,2025-10-30
2025,Antofagasta,Salud,Proyecto Salud 2 - Antofagasta,537352009,268329253,49.9,2024-04-01,2025-08-30
2025,Antofagasta,Salud,Proyecto Salud 3 - Antofagasta,1560252627,210451582,13.5,2024-12-01,2025-09-30
2025,Antofagasta,Infraestructura,Proyecto Infraestructura 1 - Antofagasta,1912464296,1590962815,83.2,2024-03-01,2025-09-30
2025,Antofagasta,Infraestructura,Proyecto Infraestructura 2 - Antofagasta,129367571,109012211,84.3,2024-01-01,2025-11-30
2025,Antofagasta,Infraestructura,Proyecto Infraestructura 3 - Antofagasta,1936644156,1686615613,87.1,2024-01-01,2025-09-30
2025,Antofagasta,Infraestructura,Proyecto Infraestructura 4 - Antofagasta,659452894,269108339,40.8,2024-07-01,2025-06-30
2025,Antofagasta,Infraestructura,Proyecto Infraestructura 5 - Antofagasta,702151809,165422892,23.6,2024-09-01,2025-07-30
2025,Antofagasta,Infraestructura,Proyecto Infraestructura 6 - Antofagasta,1878694070,1233971048,65.7,2024-08-01,2025-11-30
2025,Antofagasta,Infraestructura,Proyecto Infraestructura 7 - Antofagasta,284635338,168505765,59.2,2024-06-01,2025-12-30
2025,Antofagasta,Agua Potable,Proyecto Agua Potable 1 - Antofagasta,582910933,195993583,33.6,2024-10-01,2025-06-30
2025,Antofagasta,Agua Potable,Proyecto Agua Potable 2 - Antofagasta,1712472610,358415491,20.9,2024-06-01,2025-12-30
2025,Antofagasta,Agua Potable,Proyecto Agua Potable 3 - Antofagasta,657824504,491716531,74.7,2024-03-01,2025-07-30
2025,Antofagasta,Energía,Proyecto Energía 1 - Antofagasta,1261876050,208556998,16.5,2024-07-01,2025-06-30
2025,Antofagasta,Energía,Proyecto Energía 2 - Antofagasta,1292999388,330256821,25.5,2024-08-01,2025-11-30
2025,Antofagasta,Transporte,Proyecto Transporte 1 - Antofagasta,1791010149,663383220,37.0,2024-12-01,2025-07-30
2025,Antofagasta,Transporte,Proyecto Transporte 2 - Antofagasta,278565685,156727771,56.3,2024-06-01,2025-08-30
2025,Antofagasta,Transporte,Proyecto Transporte 3 - Antofagasta,984636234,525909679,53.4,2024-06-01,2025-07-30
2025,Antofagasta,Transporte,Proyecto Transporte 4 - Antofagasta,1734768774,520779474,30.0,2024-10-01,2025-11-30
2025,Antofagasta,Transporte,Proyecto Transporte 5 - Antofagasta,676204477,358162481,53.0,2024-05-01,2025-06-30
2025,Antofagasta,Transporte,Proyecto Transporte 6 - Antofagasta,1672951107,530717528,31.7,2024-12-01,2025-10-30
2025,Antofagasta,Transporte,Proyecto Transporte 7 - Antofagasta,968803807,749484509,77.4,2024-04-01,2025-11-30
2025,Antofagasta,Conectividad,Proyecto Conectividad 1 - Antofagasta,1311116812,892704125,68.1,2024-02-01,2025-09-30
2025,Antofagasta,Conectividad,Proyecto Conectividad 2 - Antofagasta,1457730697,193665373,13.3,2024-08-01,2025-12-30
2025,Antofagasta,Conectividad,Proyecto Conectividad 3 - Antofagasta,923689401,642180382,69.5,2024-10-01,2025-10-30
2025,Antofagasta,Conectividad,Proyecto Conectividad 4 - Antofagasta,450233981,74152804,16.5,2024-09-01,2025-09-30
2025,Antofagasta,Desarrollo Social,Proyecto Desarrollo Social 1 - Antofagasta,210567831,175228439,83.2,2024-02-01,2025-11-30
2025,Antofagasta,Desarrollo Social,Proyecto Desarrollo Social 2 - Antofagasta,278359251,68557878,24.6,2024-05-01,2025-06-30
2025,Antofagasta,Desarrollo Social,Proyecto Desarrollo Social 3 - Antofagasta,1914244033,1321436219,69.0,2024-05-01,2025-11-30
2025,Antofagasta,Desarrollo Social,Proyecto Desarrollo Social 4 - Antofagasta,1487074701,205473427,13.8,2024-10-01,2025-08-30
2025,Antofagasta,Desarrollo Social,Proyecto Desarrollo Social 5 - Antofagasta,1539907609,171722475,11.2,2024-12-01,2025-10-30
2025,Antofagasta,Desarrollo Social,Proyecto Desarrollo Social 6 - Antofagasta,278898277,97371936,34.9,2024-04-01,2025-10-30
2025,Atacama,Educación,Proyecto Educación 1 - Atacama,132606093,94242028,71.1,2024-05-01,2025-12-30
2025,Atacama,Educación,Proyecto Educación 2 - Atacama,757978210,357567921,47.2,2024-05-01,2025-12-30
2025,Atacama,Educación,Proyecto Educación 3 - Atacama,191311955,164397536,85.9,2024-04-01,2025-07-30
2025,Atacama,Educación,Proyecto Educación 4 - Atacama,595697884,66863294,11.2,2024-03-01,2025-07-30
2025,Atacama,Educación,Proyecto Educación 5 - Atacama,1051975779,559127187,53.2,2024-04-01,2025-12-30
2025,Atacama,Salud,Proyecto Salud 1 - Atacama,150371490,85504306,56.9,2024-11-01,2025-09-30
2025,Atacama,Salud,Proyecto Salud 2 - Atacama,1193400937,489933977,41.1,2024-12-01,2025-06-30
2025,Atacama,Salud,Proyecto Salud 3 - Atacama,970680491,520763707,53.6,2024-05-01,2025-09-30
2025,Atacama,Infraestructura,Proyecto Infraestructura 1 - Atacama,1658811003,1030433186,62.1,2024-11-01,2025-09-30
2025,Atacama,Infraestructura,Proyecto Infraestructura 2 - Atacama,620526141,168579141,27.2,2024-02-01,2025-10-30
2025,Atacama,Infraestructura,Proyecto Infraestructura 3 - Atacama,279441625,180632580,64.6,2024-01-01,2025-07-30
2025,Atacama,Infraestructura,Proyecto Infraestructura 4 - Atacama,706053697,547827239,77.6,2024-10-01,2025-11-30
2025,Atacama,Agua Potable,Proyecto Agua Potable 1 - Atacama,595319603,295772616,49.7,2024-10-01,2025-10-30
2025,Atacama,Agua Potable,Proyecto Agua Potable 2 - Atacama,761839548,647044438,84.9,2024-08-01,2025-09-30
2025,Atacama,Agua Potable,Proyecto Agua Potable 3 - Atacama,894097460,781498796,87.4,2024-04-01,2025-07-30
2025,Atacama,Energía,Proyecto Energía 1 - Atacama,1526168028,1137709109,74.5,2024-01-01,2025-08-30
2025,Atacama,Energía,Proyecto Energía 2 - Atacama,883973586,351480687,39.8,2024-07-01,2025-12-30
2025,Atacama,Energía,Proyecto Energía 3 - Atacama,1868438918,1469957326,78.7,2024-01-01,2025-12-30
2025,Atacama,Energía,Proyecto Energía 4 - Atacama,1526655028,1074206841,70.4,2024-09-01,2025-11-30
2025,Atacama,Energía,Proyecto Energía 5 - Atacama,1814850522,915051078,50.4,2024-09-01,2025-11-30
2025,Atacama,Energía,Proyecto Energía 6 - Atacama,665506831,119783183,18.0,2024-04-01,2025-09-30
2025,Atacama,Transporte,Proyecto Transporte 1 - Atacama,1820225755,314952463,17.3,2024-07-01,2025-09-30
2025,Atacama,Transporte,Proyecto Transporte 2 - Atacama,1905117737,1639326603,86.0,2024-03-01,2025-07-30
2025,Atacama,Transporte,Proyecto Transporte 3 - Atacama,1300490703,596608456,45.9,2024-03-01,2025-09-30
2025,Atacama,Transporte,Proyecto Transporte 4 - Atacama,724462636,462217858,63.8,2024-04-01,2025-10-30
2025,Atacama,Transporte,Proyecto Transporte 5 - Atacama,1604000183,1173638134,73.2,2024-05-01,2025-07-30
2025,Atacama,Transporte,Proyecto Transporte 6 - Atacama,1951071596,1749613686,89.7,2024-10-01,2025-10-30
2025,Atacama,Conectividad,Proyecto Conectividad 1 - Atacama,1786637947,680230256,38.1,2024-02-01,2025-12-30
2025,Atacama,Conectividad,Proyecto Conectividad 2 - Atacama,371684195,263601593,70.9,2024-12-01,2025-06-30
2025,Atacama,Conectividad,Proyecto Conectividad 3 - Atacama,292133084,48869613,16.7,2024-08-01,2025-07-30
2025,Atacama,Conectividad,Proyecto Conectividad 4 - Atacama,853638043,694449510,81.4,2024-02-01,2025-10-30
2025,Atacama,Desarrollo Social,Proyecto Desarrollo Social 1 - Atacama,261191656,232280786,88.9,2024-01-01,2025-11-30
2025,Atacama,Desarrollo Social,Proyecto Desarrollo Social 2 - Atacama,1644319177,1410495119,85.8,2024-09-01,2025-10-30
2025,Atacama,Desarrollo Social,Proyecto Desarrollo Social 3 - Atacama,1531418551,614110582,40.1,2024-03-01,2025-10-30
2025,Atacama,Desarrollo Social,Proyecto Desarrollo Social 4 - Atacama,818176421,543324363,66.4,2024-10-01,2025-07-30
2025,Atacama,Desarrollo Social,Proyecto Desarrollo Social 5 - Atacama,727479805,325591935,44.8,2024-02-01,2025-09-30
2025,Atacama,Desarrollo Social,Proyecto Desarrollo Social 6 - Atacama,1185798747,821496575,69.3,2024-08-01,2025-10-30
2025,Coquimbo,Educación,Proyecto Educación 1 - Coquimbo,1514002148,976276339,64.5,2024-12-01,2025-11-30
2025,Coquimbo,Educación,Proyecto Educación 2 - Coquimbo,860423496,414872043,48.2,2024-09-01,2025-06-30
2025,Coquimbo,Salud,Proyecto Salud 1 - Coquimbo,929038080,689055837,74.2,2024-05-01,2025-11-30
2025,Coquimbo,Salud,Proyecto Salud 2 - Coquimbo,1856822327,1550989898,83.5,2024-04-01,2025-08-30
2025,Coquimbo,Salud,Proyecto Salud 3 - Coquimbo,1421281133,227899072,16.0,2024-09-01,2025-06-30
2025,Coquimbo,Salud,Proyecto Salud 4 - Coquimbo,1421922509,659249987,46.4,2024-05-01,2025-11-30
2025,Coquimbo,Salud,Proyecto Salud 5 - Coquimbo,1210197192,993482834,82.1,2024-09-01,2025-08-30
2025,Coquimbo,Salud,Proyecto Salud 6 - Coquimbo,633830060,545302500,86.0,2024-08-01,2025-11-30
2025,Coquimbo,Salud,Proyecto Salud 7 - Coquimbo,965747830,575688151,59.6,2024-08-01,2025-07-30
2025,Coquimbo,Infraestructura,Proyecto Infraestructura 1 - Coquimbo,1329011887,545711826,41.1,2024-12-01,2025-07-30
2025,Coquimbo,Infraestructura,Proyecto Infraestructura 2 - Coquimbo,605282057,235016542,38.8,2024-04-01,2025-08-30
2025,Coquimbo,Infraestructura,Proyecto Infraestructura 3 - Coquimbo,1426507256,754447011,52.9,2024-01-01,2025-10-30
2025,Coquimbo,Infraestructura,Proyecto Infraestructura 4 - Coquimbo,1646210537,1066390391,64.8,2024-03-01,2025-10-30
2025,Coquimbo,Infraestructura,Proyecto Infraestructura 5 - Coquimbo,1887010471,817662859,43.3,2024-05-01,2025-12-30
2025,Coquimbo,Agua Potable,Proyecto Agua Potable 1 - Coquimbo,894661768,757047388,84.6,2024-02-01,2025-08-30
2025,Coquimbo,Agua Potable,Proyecto Agua Potable 2 - Coquimbo,185915473,22513170,12.1,2024-01-01,2025-11-30
2025,Coquimbo,Energía,Proyecto Energía 1 - Coquimbo,1012703155,899512149,88.8,2024-11-01,2025-10-30
2025,Coquimbo,Energía,Proyecto Energía 2 - Coquimbo,1524198769,631615104,41.4,2024-11-01,2025-08-30
2025,Coquimbo,Transporte,Proyecto Transporte 1 - Coquimbo,1692824538,804014679,47.5,2024-03-01,2025-12-30
2025,Coquimbo,Transporte,Proyecto Transporte 2 - Coquimbo,619473436,89885841,14.5,2024-06-01,2025-09-30
2025,Coquimbo,Conectividad,Proyecto Conectividad 1 - Coquimbo,1115257922,780600915,70.0,2024-03-01,2025-10-30
2025,Coquimbo,Conectividad,Proyecto Conectividad 2 - Coquimbo,1211784111,825099772,68.1,2024-10-01,2025-07-30
2025,Coquimbo,Desarrollo Social,Proyecto Desarrollo Social 1 - Coquimbo,569961393,262430349,46.0,2024-01-01,2025-08-30
2025,Coquimbo,Desarrollo Social,Proyecto Desarrollo Social 2 - Coquimbo,621990414,165313930,26.6,2024-01-01,2025-06-30
2025,Coquimbo,Desarrollo Social,Proyecto Desarrollo Social 3 - Coquimbo,1538298351,211542442,13.8,2024-08-01,2025-12-30
2025,Coquimbo,Desarrollo Social,Proyecto Desarrollo Social 4 - Coquimbo,1375989071,710349075,51.6,2024-06-01,2025-08-30
2025,Valparaíso,Educación,Proyecto Educación 1 - Valparaíso,684776755,515711255,75.3,2024-12-01,2025-10-30
2025,Valparaíso,Educación,Proyecto Educación 2 - Valparaíso,267975624,196547866,73.3,2024-01-01,2025-12-30
2025,Valparaíso,Educación,Proyecto Educación 3 - Valparaíso,154687084,108916693,70.4,2024-05-01,2025-11-30
2025,Valparaíso,Educación,Proyecto Educación 4 - Valparaíso,1437751559,388726800,27.0,2024-06-01,2025-09-30
2025,Valparaíso,Salud,Proyecto Salud 1 - Valparaíso,766116361,438168109,57.2,2024-11-01,2025-08-30
2025,Valparaíso,Salud,Proyecto Salud 2 - Valparaíso,1817901519,688265466,37.9,2024-06-01,2025-06-30
2025,Valparaíso,Salud,Proyecto Salud 3 - Valparaíso,1588940724,662960452,41.7,2024-07-01,2025-07-30
2025,Valparaíso,Infraestructura,Proyecto Infraestructura 1 - Valparaíso,1425519555,1050860829,73.7,2024-10-01,2025-06-30
2025,Valparaíso,Infraestructura,Proyecto Infraestructura 2 - Valparaíso,1035020956,317332778,30.7,2024-08-01,2025-10-30
2025,Valparaíso,Infraestructura,Proyecto Infraestructura 3 - Valparaíso,1962061893,969443941,49.4,2024-11-01,2025-08-30
2025,Valparaíso,Infraestructura,Proyecto Infraestructura 4 - Valparaíso,556276675,89388467,16.1,2024-09-01,2025-12-30
2025,Valparaíso,Agua Potable,Proyecto Agua Potable 1 - Valparaíso,363771628,222882802,61.3,2024-08-01,2025-09-30
2025,Valparaíso,Agua Potable,Proyecto Agua Potable 2 - Valparaíso,756767838,618605284,81.7,2024-03-01,2025-08-30
2025,Valparaíso,Agua Potable,Proyecto Agua Potable 3 - Valparaíso,1368359703,325472424,23.8,2024-10-01,2025-08-30
2025,Valparaíso,Agua Potable,Proyecto Agua Potable 4 - Valparaíso,177650370,41774138,23.5,2024-12-01,2025-07-30
2025,Valparaíso,Energía,Proyecto Energía 1 - Valparaíso,160428894,86466721,53.9,2024-05-01,2025-06-30
2025,Valparaíso,Energía,Proyecto Energía 2 - Valparaíso,776383820,633043033,81.5,2024-01-01,2025-11-30
2025,Valparaíso,Energía,Proyecto Energía 3 - Valparaíso,727189075,259800086,35.7,2024-10-01,2025-06-30
2025,Valparaíso,Energía,Proyecto Energía 4 - Valparaíso,1014176248,659445564,65.0,2024-08-01,2025-11-30
2025,Valparaíso,Energía,Proyecto Energía 5 - Valparaíso,398257597,160031361,40.2,2024-01-01,2025-07-30
2025,Valparaíso,Energía,Proyecto Energía 6 - Valparaíso,1749772103,293285612,16.8,2024-03-01,2025-10-30
2025,Valparaíso,Transporte,Proyecto Transporte 1 - Valparaíso,497763714,197302427,39.6,2024-06-01,2025-11-30
2025,Valparaíso,Transporte,Proyecto Transporte 2 - Valparaíso,1274684065,503667077,39.5,2024-08-01,2025-07-30
2025,Valparaíso,Transporte,Proyecto Transporte 3 - Valparaíso,1520194782,196631969,12.9,2024-08-01,2025-08-30
2025,Valparaíso,Transporte,Proyecto Transporte 4 - Valparaíso,1455364213,1187818017,81.6,2024-11-01,2025-12-30
2025,Valparaíso,Transporte,Proyecto Transporte 5 - Valparaíso,157897090,125334286,79.4,2024-06-01,2025-08-30
2025,Valparaíso,Conectividad,Proyecto Conectividad 1 - Valparaíso,560693956,176839837,31.5,2024-05-01,2025-09-30
2025,Valparaíso,Conectividad,Proyecto Conectividad 2 - Valparaíso,138135275,49405923,35.8,2024-07-01,2025-11-30
2025,Valparaíso,Conectividad,Proyecto Conectividad 3 - Valparaíso,722244969,141422574,19.6,2024-01-01,2025-10-30
2025,Valparaíso,Conectividad,Proyecto Conectividad 4 - Valparaíso,1227825661,789837969,64.3,2024-03-01,2025-06-30
2025,Valparaíso,Desarrollo Social,Proyecto Desarrollo Social 1 - Valparaíso,1011205993,573717415,56.7,2024-06-01,2025-07-30
2025,Valparaíso,Desarrollo Social,Proyecto Desarrollo Social 2 - Valparaíso,1159710305,660139980,56.9,2024-12-01,2025-08-30
2025,Valparaíso,Desarrollo Social,Proyecto Desarrollo Social 3 - Valparaíso,819667989,303242293,37.0,2024-04-01,2025-07-30
2025,Valparaíso,Desarrollo Social,Proyecto Desarrollo Social 4 - Valparaíso,1254354922,370639958,29.5,2024-11-01,2025-10-30
2025,Valparaíso,Desarrollo Social,Proyecto Desarrollo Social 5 - Valparaíso,727662114,616295944,84.7,2024-05-01,2025-11-30
2025,Valparaíso,Desarrollo Social,Proyecto Desarrollo Social 6 - Valparaíso,528132315,207178626,39.2,2024-04-01,2025-11-30
2025,Metropolitana,Educación,Proyecto Educación 1 - Metropolitana,266986486,198822676,74.5,2024-08-01,2025-12-30
2025,Metropolitana,Educación,Proyecto Educación 2 - Metropolitana,1700396667,240280302,14.1,2024-08-01,2025-10-30
2025,Metropolitana,Educación,Proyecto Educación 3 - Metropolitana,1966519372,372913274,19.0,2024-02-01,2025-09-30
2025,Metropolitana,Educación,Proyecto Educación 4 - Metropolitana,1941993823,1538846976,79.2,2024-06-01,2025-11-30
2025,Metropolitana,Salud,Proyecto Salud 1 - Metropolitana,1032422680,700309728,67.8,2024-09-01,2025-07-30
2025,Metropolitana,Salud,Proyecto Salud 2 - Metropolitana,1157849496,645258121,55.7,2024-03-01,2025-10-30
2025,Metropolitana,Infraestructura,Proyecto Infraestructura 1 - Metropolitana,489647364,428145331,87.4,2024-04-01,2025-08-30
2025,Metropolitana,Infraestructura,Proyecto Infraestructura 2 - Metropolitana,479063161,330073439,68.9,2024-12-01,2025-12-30
2025,Metropolitana,Infraestructura,Proyecto Infraestructura 3 - Metropolitana,1443737181,1031151169,71.4,2024-06-01,2025-10-30
2025,Metropolitana,Infraestructura,Proyecto Infraestructura 4 - Metropolitana,1061597517,897699041,84.6,2024-11-01,2025-08-30
2025,Metropolitana,Infraestructura,Proyecto Infraestructura 5 - Metropolitana,198464719,73289731,36.9,2024-10-01,2025-10-30
2025,Metropolitana,Agua Potable,Proyecto Agua Potable 1 - Metropolitana,1980924441,708939332,35.8,2024-02-01,2025-09-30
2025,Metropolitana,Agua Potable,Proyecto Agua Potable 2 - Metropolitana,583817244,376680157,64.5,2024-01-01,2025-06-30
2025,Metropolitana,Agua Potable,Proyecto Agua Potable 3 - Metropolitana,1231713607,587848807,47.7,2024-07-01,2025-08-30
2025,Metropolitana,Energía,Proyecto Energía 1 - Metropolitana,302728575,236304467,78.1,2024-12-01,2025-09-30
2025,Metropolitana,Energía,Proyecto Energía 2 - Metropolitana,876184756,741559366,84.6,2024-11-01,2025-06-30
2025,Metropolitana,Energía,Proyecto Energía 3 - Metropolitana,489503439,197457301,40.3,2024-01-01,2025-11-30
2025,Metropolitana,Energía,Proyecto Energía 4 - Metropolitana,191379823,138790865,72.5,2024-11-01,2025-06-30
2025,Metropolitana,Energía,Proyecto Energía 5 - Metropolitana,1525953657,1128640652,74.0,2024-03-01,2025-10-30
2025,Metropolitana,Energía,Proyecto Energía 6 - Metropolitana,454169474,131052144,28.9,2024-10-01,2025-11-30
