comuna,tipo_propiedad,metros_totales,metros_construidos,dormitorios,banos,estacionamientos,antiguedad_anos,piso,orientacion,gastos_comunes,cercania_metro,ascensor,precio
Providencia,Departamento,142.72817411498278,25.0,4,4,0,38,18,Surponiente,87215.62371168635,False,False,58064000.0
La Florida,Departamento,157.20191353245806,152.31875396611696,5,3,0,33,14,Norponiente,50000.0,False,False,152846000.0
Independencia,Casa,40.434275206204646,40.434275206204646,5,2,2,5,1,Norte,67552.31323220114,True,False,60155000.0
Macul,Departamento,151.83157422064076,59.25254743719831,2,1,2,37,24,Surponiente,75367.62882838889,True,True,39269000.0
La Reina,Departamento,107.74651908418318,83.01448592760279,2,1,2,33,8,Este,98653.64119835524,False,False,72181000.0
Providencia,Casa,75.84213774517615,30.59911366876409,1,1,3,14,1,Surponiente,67674.81354364287,True,False,28822000.0
Independencia,Departamento,87.57240719703147,87.57240719703147,4,1,0,13,22,Suroriente,161106.10029094698,False,False,55186000.0
Vitacura,Departamento,160.0928666020083,76.58417108904828,4,4,2,5,13,Sur,64198.361849526016,False,False,339977000.0
Las Condes,Casa,133.70028925427857,60.454767518957226,5,2,2,36,1,Surponiente,121000.89841496151,False,False,149873000.0
Independencia,Casa,122.51532613776602,83.2777973724654,1,2,1,31,1,Norponiente,220009.60917610873,False,False,32203000.0
Conchalí,Casa,132.174786940395,132.174786940395,4,3,3,2,1,Norte,147678.4135881812,False,False,139523000.0
La Reina,Departamento,166.40488883080968,95.25833603124883,1,2,1,2,4,Este,142537.85058561797,False,True,118071000.0
Recoleta,Casa,115.14502162983383,33.61224921866132,1,2,0,21,1,Suroriente,212865.81003725802,True,False,18211000.0
Independencia,Casa,122.71594432271183,108.59923318964329,5,2,1,21,1,Sur,182282.47821184865,True,False,119944000.0
Puente Alto,Casa,176.90853700689027,52.840801827095,1,3,1,9,1,Sur,148256.21836763018,False,False,32811000.0
Las Condes,Casa,103.42066878684207,25.0,2,1,1,2,1,Norte,104463.65750277655,False,False,34059000.0
Huechuraba,Casa,150.90702976403406,149.84028850868714,2,2,3,11,1,Oeste,118865.55626051033,False,False,142953000.0
Huechuraba,Casa,94.81477596634292,94.81477596634292,3,3,0,28,1,Suroriente,116434.80661668968,True,False,109971000.0
San Miguel,Departamento,99.20663292941076,86.8691734478634,5,3,1,16,15,Suroriente,99928.72262139458,False,True,169395000.0
Conchalí,Departamento,114.79751216001817,76.17561941213205,3,4,3,6,5,Nororiente,130601.82559414623,False,True,78919000.0
Independencia,Casa,145.76364264933827,145.76364264933827,2,3,0,12,1,Norte,137537.3848523828,False,False,105894000.0
Independencia,Casa,179.70909812755343,179.70909812755343,3,1,2,1,1,Sur,57768.576642088716,True,False,153115000.0
San Miguel,Casa,124.82726317693876,107.95122074266067,5,2,1,3,1,Sur,201602.12499811492,False,False,169632000.0
Macul,Departamento,45.00815443382278,45.00815443382278,5,3,0,9,7,Surponiente,140489.8756536641,True,True,93576000.0
Macul,Departamento,151.5723146766969,83.82137924528095,1,1,1,38,7,Norte,106860.85190246912,True,False,29847000.0
San Miguel,Departamento,242.69210870728546,107.22290688376196,4,3,2,23,14,Oeste,131058.79893647287,False,False,185497000.0
Macul,Departamento,125.43344155336752,25.0,1,3,0,16,21,Nororiente,166518.44455793002,True,False,25006000.0
Ñuñoa,Departamento,34.561618041021035,34.561618041021035,5,3,3,5,18,Este,50000.0,True,True,113385000.0
Independencia,Departamento,128.48264447354256,107.45700517972315,2,3,0,18,6,Norte,114746.9636759877,True,False,79455000.0
Maipú,Departamento,119.84936984080804,119.84936984080804,2,3,3,4,4,Nororiente,60707.211256883355,False,False,104071000.0
Santiago Centro,Departamento,115.64455783188052,115.64455783188052,1,1,0,31,10,Suroriente,252850.191048781,True,True,46576000.0
Puente Alto,Departamento,167.27049499885663,94.44688641158145,5,2,3,9,18,Nororiente,126909.30238843075,False,False,101036000.0
Ñuñoa,Casa,188.9137393167862,150.58547626321433,2,2,2,8,1,Surponiente,61112.717620024676,False,False,193079000.0
Vitacura,Casa,154.17928726005414,154.17928726005414,5,2,2,26,1,Norponiente,299973.3390348696,False,False,418249000.0
Ñuñoa,Casa,113.34709576644657,91.1180582097784,2,2,2,12,1,Sur,93199.07106098055,True,False,131188000.0
Maipú,Casa,176.2839392184815,106.72748313870996,5,1,0,18,1,Surponiente,109546.00409618963,False,False,74385000.0
Vitacura,Departamento,45.30851793928797,25.0,3,4,2,20,5,Este,113160.08800073188,True,True,102932000.0
Puente Alto,Departamento,84.19719396330026,31.96106950235648,5,4,1,23,3,Norte,77602.34717154823,True,True,40026000.0
Maipú,Casa,89.76861106991352,56.47214743961925,5,1,2,37,1,Surponiente,132367.60087480713,True,False,43941000.0
Providencia,Departamento,118.45246760340328,72.25526781931787,1,1,3,3,15,Sur,50000.0,True,True,89427000.0
Santiago Centro,Casa,145.3367331243419,46.155079010477266,3,3,3,23,1,Norponiente,174294.91914386456,False,False,62097000.0
Puente Alto,Departamento,109.96435258313582,88.56018352091031,4,3,3,34,20,Surponiente,63609.75646313897,False,True,81411000.0
Independencia,Casa,74.69821027488626,73.45163329301526,1,3,0,2,1,Norponiente,99233.92388448441,True,False,59081000.0
Macul,Departamento,168.74251423480652,132.8358092535846,4,2,1,3,16,Surponiente,157575.98368430813,False,True,210242000.0
Providencia,Departamento,108.22716388976531,71.00905418065167,2,3,2,36,11,Sur,109776.94908469422,False,False,134662000.0
Conchalí,Casa,125.10644604355168,25.0,4,4,1,39,1,Oeste,111822.61264511867,False,False,18869000.0
Puente Alto,Departamento,147.5533872737954,95.03004690141681,5,2,1,34,3,Nororiente,69396.12786351144,True,False,83188000.0
Conchalí,Casa,121.94388039614735,89.43207902354644,4,3,3,30,1,Norte,224782.41087352252,False,False,72264000.0
Vitacura,Casa,122.1635847372145,55.518004743820256,1,2,3,24,1,Norte,146574.1191103295,True,False,101242000.0
Providencia,Casa,171.52367102179147,93.79999533988148,1,4,3,39,1,Norte,65860.75258654167,False,False,183777000.0
Santiago Centro,Casa,127.56847372851882,46.9894164709466,4,3,0,12,1,Sur,128909.12230289256,True,False,75508000.0
Independencia,Departamento,163.13984928952445,103.1935981449337,1,4,1,3,14,Suroriente,62326.6002674345,True,True,115254000.0
San Miguel,Departamento,147.23337221591947,147.23337221591947,1,4,1,13,2,Oeste,206120.71469947248,True,False,205692000.0
Independencia,Departamento,220.8443772093458,25.0,4,4,0,12,10,Este,129981.8980354273,False,True,30255000.0
Maipú,Casa,140.47067089345651,69.3503165196336,3,3,0,26,1,Norponiente,71222.67360464667,True,False,54734000.0
Independencia,Departamento,151.89866350753866,62.93979514203457,3,1,0,5,9,Sur,154879.53678119584,False,False,36448000.0
Recoleta,Casa,175.08283569981836,72.66960466049825,2,3,1,16,1,Suroriente,106096.21639758433,True,False,64449000.0
La Florida,Departamento,123.18088799750849,123.18088799750849,1,4,1,35,19,Este,55588.56722387596,False,True,106277000.0
San Miguel,Departamento,88.10734516352795,88.10734516352795,4,3,3,39,18,Norponiente,139052.3166950105,True,False,143880000.0
Ñuñoa,Departamento,96.29272094382716,96.29272094382716,1,4,3,34,9,Norponiente,137642.0917068947,False,False,134242000.0
Macul,Casa,96.7746537248756,91.21982019014392,5,1,1,16,1,Oeste,176886.6816283699,True,False,127345000.0
Las Condes,Departamento,72.48345159016408,37.11602720220569,1,2,3,1,13,Nororiente,123225.17784588989,True,False,71691000.0
Santiago Centro,Departamento,135.8902584600942,45.41258554960081,1,1,0,12,10,Norte,125353.01434792754,True,True,24167000.0
Providencia,Casa,88.5241725975458,88.5241725975458,3,1,2,1,1,Surponiente,128006.6518272592,False,False,165769000.0
La Florida,Departamento,129.74264106009235,96.83327593653189,4,2,3,27,14,Este,199764.14972535148,True,True,109185000.0
Santiago Centro,Casa,112.06627781446818,112.06627781446818,1,3,1,25,1,Sur,104496.32383629646,True,False,104089000.0
Providencia,Departamento,117.91892533537425,101.73048412987188,3,2,3,21,19,Este,143472.74844028658,True,True,245780000.0
Macul,Casa,147.8028323914428,42.679400266715,2,3,3,2,1,Nororiente,150837.2726007806,True,False,72205000.0
La Reina,Casa,92.90504378057261,69.12392743267381,3,3,3,34,1,Norte,137488.82596153798,False,False,136747000.0
La Reina,Departamento,151.94455229683865,112.59256598731719,3,4,2,11,15,Este,102604.76969702146,True,True,363281000.0
Conchalí,Casa,198.36539333194762,118.41329984954503,3,4,0,23,1,Nororiente,126030.20036537517,True,False,92633000.0
Santiago Centro,Casa,137.15545414758793,124.20434528618752,1,2,1,4,1,Sur,115317.11192835745,False,False,96291000.0
La Reina,Casa,80.89521573637657,48.05903547179228,1,1,2,19,1,Oeste,217960.5180055902,False,False,36109000.0
Recoleta,Casa,89.24909943301019,41.958793356923,2,2,1,38,1,Suroriente,97111.8107284347,False,False,22348000.0
San Miguel,Casa,107.58685496074422,82.40789921010317,5,3,1,38,1,Norponiente,74371.07368738859,True,False,147226000.0
Providencia,Casa,90.2554851465217,90.2554851465217,5,4,1,12,1,Sur,119689.91542834621,False,False,311393000.0
Conchalí,Departamento,70.4409845194975,62.24526716767927,5,2,2,11,21,Norte,116165.09012856636,False,True,60445000.0
Independencia,Casa,127.72036384808459,108.19887562403892,2,2,0,12,1,Norponiente,129842.17600843149,False,False,63472000.0
Providencia,Casa,108.94013341371006,108.2024455575586,5,4,1,9,1,Suroriente,97127.66988993342,True,False,461365000.0
Conchalí,Departamento,129.4860441779029,120.43090998682453,5,4,0,32,1,Sur,125518.67399664383,True,True,101103000.0
Macul,Departamento,179.3193706107644,156.5776101579284,3,4,0,39,16,Surponiente,126480.35194856056,True,True,242470000.0
Santiago Centro,Departamento,108.18235830378204,108.18235830378204,1,3,3,15,10,Sur,165299.48446800024,False,True,126095000.0
Macul,Departamento,60.72899976598444,60.72899976598444,1,4,2,34,19,Sur,124650.31918545759,True,False,74302000.0
San Miguel,Departamento,100.05537538732244,25.0,3,1,2,2,22,Surponiente,125123.75153157944,False,True,29011000.0
San Miguel,Departamento,158.5212608558321,62.85882658541029,3,2,3,4,3,Sur,145817.31898542587,False,False,90537000.0
La Florida,Departamento,153.83851353584774,93.02689176188942,3,4,3,25,5,Norponiente,163382.75315907586,False,False,111359000.0
Macul,Casa,145.93198238067833,75.53418889257371,1,4,0,10,1,Norte,70816.21061867106,True,False,95838000.0
Maipú,Casa,88.76466384189483,88.76466384189483,5,3,1,6,1,Suroriente,57383.97200665893,False,False,119558000.0
Independencia,Departamento,157.59513090163492,90.75121217265797,3,3,2,9,11,Nororiente,204773.98146919056,False,False,99215000.0
Puente Alto,Casa,168.8449539018533,116.14847521024775,2,2,1,33,1,Este,155203.7718964079,True,False,65674000.0
Macul,Casa,85.2289185055012,85.2289185055012,3,1,1,2,1,Surponiente,109030.66818352987,False,False,83343000.0
La Florida,Casa,117.92149512287378,76.13467266036712,4,2,3,7,1,Oeste,120985.09683165656,False,False,94495000.0
Vitacura,Departamento,221.02009818410562,25.0,3,4,1,30,22,Surponiente,100371.91533350866,False,False,68189000.0
Recoleta,Departamento,83.00628617683063,83.00628617683063,1,1,0,10,6,Suroriente,130564.03622207762,True,True,33585000.0
Providencia,Casa,34.74566653781376,34.74566653781376,3,1,3,6,1,Este,71408.1405297656,False,False,63488000.0
San Miguel,Departamento,189.14522172323996,40.22166400648665,4,1,1,1,8,Este,162008.3492544963,True,False,60752000.0
Vitacura,Casa,176.83023858522802,25.0,2,1,3,5,1,Oeste,128772.66993142509,True,False,45843000.0
La Florida,Casa,97.15163382112875,97.15163382112875,5,2,0,31,1,Suroriente,130581.35480166756,False,False,74887000.0
Conchalí,Casa,114.35041090659567,114.35041090659567,3,3,0,19,1,Norponiente,75302.8808660739,False,False,63360000.0
Puente Alto,Casa,58.75324749055239,58.75324749055239,4,3,1,33,1,Norte,146213.35483863179,False,False,46868000.0
Independencia,Departamento,124.44761363048511,124.44761363048511,4,4,3,15,2,Oeste,76451.41784269795,False,False,176051000.0
Independencia,Departamento,178.29568576857002,56.73992228175613,2,3,1,24,1,Norte,85392.45700456071,True,True,39767000.0
Independencia,Departamento,92.8697579120861,85.73620956341392,1,3,1,11,10,Norponiente,124381.09617208756,True,False,70603000.0
Recoleta,Casa,163.85509893931464,128.20616467603293,3,3,3,6,1,Este,245366.5949807826,False,False,169192000.0
Puente Alto,Departamento,143.1861928695216,143.1861928695216,4,3,1,38,12,Norte,128573.30666774047,True,True,142951000.0
Recoleta,Casa,148.89084454405696,43.25822741373567,2,4,0,16,1,Norponiente,50000.0,False,False,40578000.0
San Miguel,Departamento,95.78454097068159,95.78454097068159,5,2,3,10,8,Norponiente,87874.93083196247,False,False,183092000.0
Recoleta,Casa,102.26879085332529,102.26879085332529,4,1,3,5,1,Nororiente,154186.45561102868,False,False,91583000.0
Las Condes,Casa,30.0,30.0,2,3,3,22,1,Oeste,63576.952750793804,False,False,71739000.0
Puente Alto,Casa,91.66652937449471,89.69083110981047,1,2,3,26,1,Nororiente,161555.122057283,True,False,42451000.0
Maipú,Departamento,178.17427290156294,34.61413517221587,1,3,1,5,15,Surponiente,127941.02873825148,True,False,30294000.0
Puente Alto,Departamento,73.53339029488632,73.53339029488632,4,3,1,37,6,Este,169566.35962953878,False,True,61460000.0
La Florida,Departamento,80.98491730715476,58.70923918694688,4,1,0,1,12,Oeste,92057.29453745013,False,True,49593000.0
Las Condes,Departamento,152.00949118535618,46.81237189990612,3,1,2,21,8,Este,88160.8042533642,True,True,80961000.0
Independencia,Casa,140.13841459965468,125.41835835601353,2,1,2,19,1,Nororiente,148249.25791422557,True,False,66734000.0
La Florida,Departamento,154.49316248981503,121.56536100586715,4,3,0,24,19,Suroriente,119623.58125139202,True,False,140281000.0
La Florida,Departamento,61.83897299547981,61.83897299547981,3,3,2,14,1,Norponiente,116598.85941068629,False,True,65475000.0
San Miguel,Casa,248.20289746501732,133.18174483246565,3,3,0,28,1,Este,198448.49344745313,True,False,157038000.0
Huechuraba,Casa,59.21233129163748,59.21233129163748,4,1,1,7,1,Oeste,150207.04635308924,False,False,57417000.0
Ñuñoa,Casa,127.71236568670341,127.71236568670341,1,4,3,36,1,Surponiente,50000.0,False,False,172011000.0
Las Condes,Departamento,112.06722520657068,68.8688410639208,2,2,3,32,8,Oeste,159953.40612581937,True,True,119455000.0
La Florida,Casa,60.667924131747625,60.667924131747625,2,4,1,21,1,Este,154948.4400207561,False,False,64359000.0
Ñuñoa,Casa,101.48952885933751,98.46563910034595,1,3,3,4,1,Oeste,179245.56436117162,True,False,152717000.0
Ñuñoa,Casa,121.16538004429349,121.16538004429349,4,3,3,38,1,Surponiente,73015.07902132455,False,False,207036000.0
Las Condes,Departamento,87.5013394068265,85.05086654931308,2,4,2,17,10,Norponiente,136240.29126050614,False,False,214340000.0
Huechuraba,Casa,166.86118107674247,75.74113450526679,4,3,1,37,1,Suroriente,125581.50106215908,False,False,84030000.0
Vitacura,Departamento,111.91871272687644,65.44812492628493,4,2,2,36,9,Norponiente,72118.40762601234,False,True,162663000.0
Conchalí,Departamento,52.93626644908568,52.93626644908568,3,3,2,29,24,Oeste,167338.32839532904,False,True,36874000.0
Maipú,Casa,48.69372336653515,48.69372336653515,1,2,3,30,1,Surponiente,107922.70003453088,False,False,20030000.0
Conchalí,Casa,150.3082545305728,109.43849131709084,4,4,3,9,1,Surponiente,177636.61956261675,True,False,127579000.0
Puente Alto,Departamento,45.661460864983184,45.661460864983184,5,4,1,14,18,Este,82857.0607466262,True,True,65002000.0
Independencia,Casa,135.8213036524542,116.84148050719224,1,3,3,17,1,Nororiente,50000.0,False,False,90225000.0
Maipú,Casa,142.23275928334795,81.09832656342408,2,2,3,22,1,Oeste,107871.69089844277,True,False,61026000.0
Puente Alto,Departamento,70.23223180379915,55.09938737632514,3,3,1,32,21,Oeste,131595.65912812235,False,False,35499000.0
La Florida,Departamento,164.53690418874453,51.60688012345409,2,1,3,15,22,Oeste,93290.20363905441,True,False,34102000.0
Independencia,Casa,34.11031881191839,34.11031881191839,2,1,2,37,1,Oeste,50000.0,True,False,15778000.0
Providencia,Departamento,134.82294669992794,108.8128924211316,1,1,1,34,18,Este,139182.4572459385,False,True,80636000.0
Las Condes,Casa,117.95710332019956,25.0,2,1,3,33,1,Nororiente,138949.03452610128,True,False,35442000.0
Maipú,Casa,114.05010121345532,114.05010121345532,4,3,0,27,1,Nororiente,154358.3639270483,False,False,91675000.0
Maipú,Casa,61.10516785097137,61.10516785097137,2,1,1,1,1,Norte,100975.37822246114,True,False,33103000.0
Macul,Departamento,73.14889978000372,61.36332596965869,3,2,1,29,24,Oeste,98247.41338090465,False,False,52708000.0
La Florida,Casa,200.9401012510299,103.44640185104164,3,4,0,12,1,Oeste,192016.08864007457,True,False,144362000.0
Vitacura,Casa,180.7577504435877,71.06167625470562,5,4,3,15,1,Norte,50000.0,False,False,362218000.0
Ñuñoa,Casa,157.10422942618993,115.13227701884666,3,1,3,4,1,Nororiente,107644.110316618,True,False,169245000.0
Independencia,Departamento,166.9924051764844,43.35964443699099,2,1,1,27,11,Surponiente,127115.09230659028,False,False,15754000.0
La Florida,Departamento,162.30067723356345,87.14217371604877,3,1,1,38,16,Surponiente,150301.09150071203,True,True,55714000.0
La Reina,Departamento,103.83218938568956,103.83218938568956,1,3,3,19,8,Sur,128488.35912021593,False,False,157807000.0
Huechuraba,Departamento,122.38017759071757,122.38017759071757,3,4,3,23,7,Norponiente,73900.36807692205,True,True,217151000.0
Ñuñoa,Departamento,46.37458109794956,46.37458109794956,4,1,2,26,11,Sur,178380.6974010427,False,True,57173000.0
Las Condes,Casa,115.51521865962368,76.43818787161044,1,2,1,29,1,Nororiente,120095.37061384537,True,False,87509000.0
Ñuñoa,Departamento,179.17071247695932,26.29595662625566,5,1,1,26,17,Suroriente,50000.0,False,False,33046000.0
Vitacura,Departamento,86.96463758714322,59.69801155042873,4,4,0,25,14,Oeste,130458.83253866971,False,False,191199000.0
San Miguel,Departamento,171.15706023436132,71.22906380980879,2,1,2,6,6,Sur,143763.84356107318,False,True,50774000.0
Macul,Casa,124.57928693468816,62.09064866793544,2,4,3,37,1,Este,218037.19766990573,False,False,72306000.0
Ñuñoa,Departamento,50.73140671651339,50.73140671651339,2,1,2,4,22,Surponiente,140437.5674435146,True,True,56857000.0
Las Condes,Departamento,64.63402433268442,64.63402433268442,4,2,3,22,5,Este,50000.0,True,False,192906000.0
Vitacura,Casa,165.96514348538776,96.88485489341772,4,1,3,27,1,Norte,50000.0,True,False,242234000.0
Conchalí,Departamento,147.62620426291926,138.10509204190654,4,2,2,33,2,Nororiente,182935.47290991337,False,False,67037000.0
Maipú,Casa,125.08820364938127,73.74151115082554,1,2,1,14,1,Nororiente,79859.84933254303,False,False,35814000.0
San Miguel,Casa,106.29840928760272,34.685320909831006,1,1,3,31,1,Sur,50000.0,False,False,14345000.0
Macul,Casa,130.52839888142927,61.93169607500501,2,2,2,25,1,Oeste,170025.5433879216,False,False,51676000.0
Maipú,Casa,164.01481246266246,113.34353879893087,3,3,0,30,1,Nororiente,96213.20938926647,False,False,82684000.0
Huechuraba,Casa,193.79266402436423,117.11775139810692,2,1,2,18,1,Sur,167350.69820798037,True,False,91416000.0
Puente Alto,Departamento,196.18420997203023,106.24340788064937,5,1,0,8,14,Sur,74264.02473352943,True,False,94196000.0
San Miguel,Casa,138.5979950379249,138.5979950379249,1,2,3,28,1,Norponiente,193690.616683294,True,False,122609000.0
San Miguel,Casa,111.40341548177398,82.54547720492059,4,2,2,38,1,Norponiente,163603.18534666378,False,False,104726000.0
Conchalí,Departamento,127.31240039094278,127.31240039094278,1,1,2,3,16,Nororiente,83865.73166993266,False,False,40219000.0
Conchalí,Casa,146.106017862754,122.72748544423628,4,3,0,2,1,Sur,50000.0,False,False,104417000.0
Independencia,Departamento,145.90334719225456,25.0,5,2,2,28,1,Norte,235258.19293770706,False,True,21553000.0
Recoleta,Departamento,185.39933185700525,162.02634519854266,5,2,2,10,17,Norte,109489.61490034268,False,False,206846000.0
Ñuñoa,Departamento,225.78778609583276,59.320535594571126,1,4,3,32,13,Norponiente,81863.41764621413,False,True,79192000.0
San Miguel,Casa,109.73726851929568,48.63595242172277,4,3,2,37,1,Nororiente,189315.41344147496,False,False,64171000.0
Maipú,Casa,227.7942454412231,110.95084439331575,5,3,1,10,1,Surponiente,167287.992670622,True,False,166087000.0
Las Condes,Casa,178.6119623379197,25.0,2,1,0,26,1,Oeste,179139.82716562902,True,False,28378000.0
Santiago Centro,Departamento,114.95885049073961,62.181230747135466,2,3,2,32,10,Suroriente,115074.58612411344,False,False,70178000.0
Recoleta,Casa,194.928241943254,152.2839416249683,4,1,0,20,1,Surponiente,214052.73451618123,False,False,92721000.0
Santiago Centro,Casa,204.28241507095825,112.2487031599001,1,4,0,38,1,Norte,54469.09097243191,False,False,99078000.0
Macul,Casa,96.98522779030766,96.98522779030766,5,3,0,30,1,Norte,92397.52392212393,True,False,148352000.0
Vitacura,Departamento,206.61076262428242,63.723575980101046,1,2,2,37,13,Surponiente,139493.93778574417,True,False,93146000.0
Maipú,Departamento,173.75414105179817,28.46520004127587,2,4,2,1,1,Norponiente,178405.56721185567,False,False,28984000.0
Maipú,Casa,238.4279563989596,118.27269717254936,5,1,0,26,1,Norponiente,153057.95102624147,True,False,99898000.0
Recoleta,Casa,98.79807090002505,98.79807090002505,1,4,1,35,1,Nororiente,115856.71320766045,True,False,90209000.0
San Miguel,Casa,102.3286628132002,102.3286628132002,3,1,0,10,1,Norponiente,96242.60663802603,True,False,96349000.0
Huechuraba,Casa,30.0,30.0,4,4,1,17,1,Este,178675.54291796774,False,False,53334000.0
Recoleta,Departamento,148.5596960283981,51.31727026111717,4,1,0,0,10,Suroriente,158219.80066385152,True,False,51140000.0
Santiago Centro,Departamento,138.76256278093592,138.76256278093592,3,3,3,34,9,Surponiente,76273.81036544678,True,True,228236000.0
Recoleta,Departamento,91.85031642321667,91.85031642321667,2,2,0,34,17,Surponiente,74786.53009684864,False,False,52292000.0
Maipú,Departamento,115.9074634255971,83.04453433643329,5,1,0,30,9,Sur,92725.59227802424,False,True,50073000.0
Huechuraba,Casa,54.438949491244244,54.438949491244244,4,4,2,27,1,Norte,86311.90671903126,True,False,101182000.0
Ñuñoa,Casa,179.9222476415843,95.98389912294215,3,1,1,38,1,Surponiente,171492.0456273234,False,False,70709000.0
La Reina,Casa,95.5150262735845,95.5150262735845,3,1,3,0,1,Este,141786.61611090088,True,False,172032000.0
Independencia,Departamento,274.70245078104756,97.58512493221811,2,1,1,24,10,Surponiente,147889.3620201549,True,True,49674000.0
Providencia,Casa,111.21993496444836,111.21993496444836,2,4,3,37,1,Oeste,129583.4818398388,False,False,253705000.0
Conchalí,Departamento,82.01905794758451,82.01905794758451,1,2,0,19,17,Este,131938.53576686772,False,False,28514000.0
Recoleta,Departamento,99.3843440632569,85.50584434118477,4,3,2,2,11,Nororiente,50000.0,True,True,158645000.0
Macul,Casa,49.401951172787435,49.401951172787435,1,2,2,1,1,Oeste,159709.18288423843,False,False,45251000.0
Puente Alto,Casa,144.11359453514712,114.13144134695186,3,1,1,17,1,Oeste,91825.92597042787,False,False,61083000.0
Vitacura,Casa,99.0050150110439,83.2146352361938,5,4,2,9,1,Surponiente,118342.23334750035,True,False,444943000.0
La Reina,Departamento,176.5626395198869,60.03172169142963,5,2,1,4,21,Norponiente,96341.35389323329,True,True,186882000.0
Independencia,Casa,106.26262524127912,103.66915658961739,2,1,1,8,1,Surponiente,127293.57825758378,True,False,52401000.0
Independencia,Departamento,189.22210558428233,93.13394675850375,5,3,3,1,7,Este,148654.6963621998,True,False,160823000.0
Independencia,Casa,157.87278746585204,67.8051314891697,5,3,1,33,1,Nororiente,69557.24837383354,True,False,73615000.0
Independencia,Departamento,121.42983883591721,56.30398069852813,5,3,3,37,8,Norte,132637.4612122001,True,True,75225000.0
Santiago Centro,Departamento,199.01162936754108,106.41903375577826,3,1,2,30,1,Suroriente,97549.87106230717,False,False,75955000.0
Macul,Casa,167.61467305186048,112.00380228110778,5,4,1,9,1,Norponiente,186072.9387938002,False,False,248738000.0
Macul,Departamento,267.31064133316124,75.59871541380558,5,2,1,11,22,Este,64268.72985101861,True,False,139785000.0
Huechuraba,Departamento,99.52723775108977,66.80251856348298,5,3,0,35,4,Norte,69874.1865217973,False,True,85783000.0
Conchalí,Casa,123.83080527292303,56.78979243851238,1,1,1,20,1,Este,102021.4890981595,False,False,11837000.0
Maipú,Departamento,198.43545055054648,105.29019756579676,3,1,1,5,24,Norponiente,73717.81424930807,True,True,76402000.0
Independencia,Casa,42.82310940824438,42.82310940824438,2,2,0,2,1,Norte,108780.9493506544,False,False,26736000.0
Puente Alto,Departamento,185.8471781616281,179.64538276082922,1,3,0,9,13,Norponiente,93605.72469421434,False,True,119194000.0
Maipú,Casa,141.96513788407356,73.58874256116012,4,1,2,4,1,Este,124420.61888509063,True,False,67429000.0
Macul,Casa,75.58946222763761,25.0,3,2,1,25,1,Oeste,170403.60139120772,False,False,23874000.0
