id,name,unit,source,sourceNote,sourceOrganization,topics,tema_id
AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),,"{'id': '2', 'value': 'World Development Indicators'}",Rural land area below 5m is the total rural land area in square kilometers where the elevation is 5 meters or less.,"Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}, {'id': '6', 'value': 'Environment '}]",1
AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),,"{'id': '2', 'value': 'World Development Indicators'}",Rural land area below 5m is the percentage of total land where the rural land elevation is 5 meters or less.,"Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}, {'id': '6', 'value': 'Environment '}]",1
AG.LND.FRST.K2,Forest area (sq. km),,"{'id': '2', 'value': 'World Development Indicators'}","Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}, {'id': '6', 'value': 'Environment '}]",1
AG.LND.FRST.ZS,Forest area (% of land area),,"{'id': '2', 'value': 'World Development Indicators'}","Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}, {'id': '6', 'value': 'Environment '}]",1
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),,"{'id': '2', 'value': 'World Development Indicators'}","Agricultural irrigated land refers to agricultural areas purposely provided with water, including land irrigated by controlled flooding.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}]",1
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),,"{'id': '2', 'value': 'World Development Indicators'}",Average precipitation is the long-term average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.,"Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}, {'id': '6', 'value': 'Environment '}]",1
AG.LND.TOTL.K2,Land area (sq. km),,"{'id': '2', 'value': 'World Development Indicators'}","Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '6', 'value': 'Environment '}]",1
AG.LND.TOTL.RU.K2,Rural land area (sq. km),,"{'id': '2', 'value': 'World Development Indicators'}","Rural land area in square kilometers, derived from urban extent grids which distinguish urban and rural areas based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '6', 'value': 'Environment '}]",1
AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land",,"{'id': '57', 'value': 'WDI Database Archives'}","Agricultural machinery refers to the number of wheel and crawler tractors (excluding garden tractors) in use in agriculture at the end of the calendar year specified or during the first quarter of the following year. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.PRD.CREL.MT,Cereal production (metric tons),,"{'id': '2', 'value': 'World Development Indicators'}","Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),,"{'id': '2', 'value': 'World Development Indicators'}","Crop production index shows agricultural production for each year relative to the base period 2014-2016. It includes all crops except fodder crops. Regional and income group aggregates for the FAO's production indexes are calculated from the underlying values in international dollars, normalized to the base period 2014-2016.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),,"{'id': '2', 'value': 'World Development Indicators'}","Food production index covers food crops that are considered edible and that contain nutrients. Coffee and tea are excluded because, although edible, they have no nutritive value.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),,"{'id': '2', 'value': 'World Development Indicators'}","Livestock production index includes meat and milk from all sources, dairy products such as cheese, and eggs, honey, raw silk, wool, and hides and skins.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.SRF.TOTL.K2,Surface area (sq. km),,"{'id': '2', 'value': 'World Development Indicators'}","Surface area is a country's total area, including areas under inland bodies of water and some coastal waterways.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '6', 'value': 'Environment '}]",1
AG.YLD.CREL.KG,Cereal yield (kg per hectare),,"{'id': '2', 'value': 'World Development Indicators'}","Cereal yield, measured as kilograms per hectare of harvested land, includes wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded. The FAO allocates production data to the calendar year in which the bulk of the harvest took place. Most of a crop harvested near the end of a year will be used in the following year.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}]",1
EA.PRD.AGRI.KD,Agriculture value added per worker (constant 2010 US$),,"{'id': '57', 'value': 'WDI Database Archives'}","Agriculture value added per worker is a measure of agricultural productivity. Value added in agriculture measures the output of the agricultural sector (ISIC divisions 1-5) less the value of intermediate inputs. Agriculture comprises value added from forestry, hunting, and fishing as well as cultivation of crops and livestock production. Data are in constant 2010 U.S. dollars.","Derived from World Bank national accounts files and Food and Agriculture Organization, Production Yearbook and data files.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)",,"{'id': '2', 'value': 'World Development Indicators'}","Access to electricity, rural is the percentage of rural population with access to electricity.","IEA, IRENA, UNSD, World Bank, WHO. 2023. Tracking SDG 7: The Energy Progress Report. World Bank, Washington DC. © World Bank. License: Creative Commons Attribution—NonCommercial 3.0 IGO (CC BY-NC 3.0 IGO).","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '5', 'value': 'Energy & Mining '}]",1
EG.NSF.ACCS.RU.ZS,"Access to non-solid fuel, rural (% of rural population)",,"{'id': '57', 'value': 'WDI Database Archives'}","Access to non-solid fuel, rural is the percentage of rural population with access to non-solid fuel.","World Bank, Sustainable Energy for All (SE4ALL) database from WHO Global Household Energy database.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '5', 'value': 'Energy & Mining '}]",1
EN.AGR.EMPL,Economically active population in agriculture (number),,"{'id': '11', 'value': 'Africa Development Indicators'}",Agricultural employment shows the number of workers in the agricultural sector.,"Food and Agriculture Organization, Production Yearbook and data files.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent),,"{'id': '57', 'value': 'WDI Database Archives'}","Agricultural methane emissions are emissions from animals, animal waste, rice production, agricultural waste burning (nonenergy, on-site), and savanna burning.","Climate Watch Historical GHG Emissions (1990-2020). 2023. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org/ghg-emissions","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '6', 'value': 'Environment '}]",1
EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total),,"{'id': '57', 'value': 'WDI Database Archives'}","Agricultural methane emissions are emissions from animals, animal waste, rice production, agricultural waste burning (nonenergy, on-site), and savanna burning.","World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '6', 'value': 'Environment '}]",1
EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),,"{'id': '57', 'value': 'WDI Database Archives'}","Agricultural nitrous oxide emissions are emissions produced through fertilizer use (synthetic and animal manure), animal waste management, agricultural waste burning (nonenergy, on-site), and savanna burning.","Climate Watch Historical GHG Emissions (1990-2020). 2023. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org/ghg-emissions","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '6', 'value': 'Environment '}]",1
EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total),,"{'id': '57', 'value': 'WDI Database Archives'}","Agricultural nitrous oxide emissions are emissions produced through fertilizer use (synthetic and animal manure), animal waste management, agricultural waste burning (nonenergy, on-site), and savanna burning.","World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '6', 'value': 'Environment '}]",1
EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population),,"{'id': '2', 'value': 'World Development Indicators'}","Rural population below 5m is the percentage of the total population, living in areas where the elevation is 5 meters or less.","Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}, {'id': '6', 'value': 'Environment '}]",1
ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,"{'id': '2', 'value': 'World Development Indicators'}","Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture are total withdrawals for irrigation and livestock production. Data are for the most recent year available for 1987-2002.","Food and Agriculture Organization, AQUASTAT data.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '9', 'value': 'Infrastructure '}, {'id': '6', 'value': 'Environment '}]",1
NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",,"{'id': '2', 'value': 'World Development Indicators'}","Agriculture, forestry, and fishing corresponds to ISIC divisions 1-3 and includes forestry, hunting, and fishing, as well as cultivation of crops and livestock production. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Data are in current U.S. dollars.","World Bank national accounts data, and OECD National Accounts data files.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '3', 'value': 'Economy & Growth'}]",1
NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",,"{'id': '2', 'value': 'World Development Indicators'}","Agriculture, forestry, and fishing corresponds to ISIC divisions 1-3 and includes forestry, hunting, and fishing, as well as cultivation of crops and livestock production. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Note: For VAB countries, gross value added at factor cost is used as the denominator.","World Bank national accounts data, and OECD National Accounts data files.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '3', 'value': 'Economy & Growth'}, {'id': '19', 'value': 'Climate Change'}]",1
SH.H2O.SAFE.RU.ZS,"Improved water source, rural (% of rural population with access)",,"{'id': '57', 'value': 'WDI Database Archives'}","Access to an improved water source, rural, refers to the percentage of the rural population using an improved drinking water source. The improved drinking water source includes piped water on premises (piped household water connection located inside the user’s dwelling, plot or yard), and other improved drinking water sources (public taps or standpipes, tube wells or boreholes, protected dug wells, protected springs, and rainwater collection).",WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).,"[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}, {'id': '9', 'value': 'Infrastructure '}, {'id': '8', 'value': 'Health '}]",1
SH.STA.ACSN.RU,"Improved sanitation facilities, rural (% of rural population with access)",,"{'id': '57', 'value': 'WDI Database Archives'}","Access to improved sanitation facilities, rural, refers to the percentage of the rural population using improved sanitation facilities. Improved sanitation facilities are likely to ensure hygienic separation of human excreta from human contact. They include flush/pour flush (to piped sewer system, septic tank, pit latrine), ventilated improved pit (VIP) latrine, pit latrine with slab, and composting toilet.",WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).,"[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '8', 'value': 'Health '}]",1
SI.POV.RUGP,Rural poverty gap at national poverty lines (%),,"{'id': '57', 'value': 'WDI Database Archives'}",Rural poverty gap at national poverty lines is the rural population's mean shortfall from the poverty lines (counting the nonpoor as having zero shortfall) as a percentage of the poverty lines. This measure reflects the depth of poverty as well as its incidence.,"World Bank, Global Poverty Working Group. Data are compiled from official government sources or are computed by World Bank staff using national (i.e. country–specific) poverty lines.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '11', 'value': 'Poverty '}]",1
SI.POV.RUHC,Rural poverty headcount ratio at national poverty lines (% of rural population),,"{'id': '57', 'value': 'WDI Database Archives'}",Rural poverty headcount ratio is the percentage of the rural population living below the national poverty lines.,"World Bank, Global Poverty Working Group. Data are compiled from official government sources or are computed by World Bank staff using national (i.e. country–specific) poverty lines.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '11', 'value': 'Poverty '}]",1
SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",,"{'id': '2', 'value': 'World Development Indicators'}","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","International Labour Organization. “ILO modelled estimates database” ILOSTAT. Accessed January 07, 2025. https://ilostat.ilo.org/data/.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '10', 'value': 'Social Protection & Labor'}, {'id': '17', 'value': 'Gender'}]",1
SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",,"{'id': '2', 'value': 'World Development Indicators'}","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","International Labour Organization. “ILO modelled estimates database” ILOSTAT. Accessed January 07, 2025. https://ilostat.ilo.org/data/.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '10', 'value': 'Social Protection & Labor'}, {'id': '17', 'value': 'Gender'}]",1
SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),,"{'id': '2', 'value': 'World Development Indicators'}","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","International Labour Organization. “ILO modelled estimates database” ILOSTAT. Accessed January 07, 2025. https://ilostat.ilo.org/data/.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '10', 'value': 'Social Protection & Labor'}]",1
SP.RUR.TOTL,Rural population,,"{'id': '2', 'value': 'World Development Indicators'}",Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population. Aggregation of urban and rural population may not add up to total population because of different country coverages.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,"[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
SP.RUR.TOTL.ZG,Rural population growth (annual %),,"{'id': '2', 'value': 'World Development Indicators'}",Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,"[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
SP.RUR.TOTL.ZS,Rural population (% of total population),,"{'id': '2', 'value': 'World Development Indicators'}",Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,"[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports),,"{'id': '2', 'value': 'World Development Indicators'}","Agricultural raw materials comprise SITC section 2 (crude materials except fuels) excluding divisions 22, 27 (crude fertilizers and minerals excluding coal, petroleum, and precious stones), and 28 (metalliferous ores and scrap).",World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,"[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '12', 'value': 'Private Sector'}, {'id': '21', 'value': 'Trade'}]",1
TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports),,"{'id': '2', 'value': 'World Development Indicators'}","Agricultural raw materials comprise SITC section 2 (crude materials except fuels) excluding divisions 22, 27 (crude fertilizers and minerals excluding coal, petroleum, and precious stones), and 28 (metalliferous ores and scrap).",World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,"[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '12', 'value': 'Private Sector'}, {'id': '21', 'value': 'Trade'}]",1
BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)",,"{'id': '2', 'value': 'World Development Indicators'}",Grants are defined as legally binding commitments that obligate a specific value of funds available for disbursement for which there is no repayment requirement. Data are in current U.S. dollars.,"World Bank, International Debt Statistics, and OECD.","[{'id': '3', 'value': 'Economy & Growth'}, {'id': '20', 'value': 'External Debt'}, {'id': '2', 'value': 'Aid Effectiveness '}]",2
BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)",,"{'id': '2', 'value': 'World Development Indicators'}","Technical cooperation grants include free-standing technical cooperation grants, which are intended to finance the transfer of technical and managerial skills or of technology for the purpose of building up general national capacity without reference to any specific investment projects; and investment-related technical cooperation grants, which are provided to strengthen the capacity to execute specific investment projects. Data are in current U.S. dollars.","World Bank, International Debt Statistics, and OECD.","[{'id': '3', 'value': 'Economy & Growth'}, {'id': '20', 'value': 'External Debt'}, {'id': '2', 'value': 'Aid Effectiveness '}]",2
DC.DAC.AUSL.CD,"Net bilateral aid flows from DAC donors, Australia (current US$)",,"{'id': '2', 'value': 'World Development Indicators'}","Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent, calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia, Austria, Belgium, Canada, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Japan, Korea, Lithuania, Luxembourg, The Netherlands, New Zealand, Norway, Poland, Portugal, Slovak Republic, Slovienia, Spain, Sweden, Switzerland, United Kingdom, United States, and European Union Institutions. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: https://data-explorer.oecd.org/.","[{'id': '2', 'value': 'Aid Effectiveness '}]",2
