indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2009,516003448.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2008,502070763.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2007,488580707.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2006,475606210.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2005,463076637.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2004,450928044.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2003,439173286.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2002,427820358.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2001,416807868.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2000,406156661.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2023,509398589.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2022,497387180.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2021,485920997.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2020,474569351.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2019,463365429.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2018,452195915.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2017,440882906.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2016,429454743.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2015,418127845.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2014,406992047.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2013,396030207.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2012,385360349.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2011,374790143.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2010,364358270.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2009,354343844.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2008,344586109.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2007,334984176.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2006,325663158.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2005,316588476.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2004,307725100.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2003,299142845.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2002,290841795.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2001,282780717.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2000,274968446.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2023,481667539.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2022,471352066.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2021,460646603.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2020,453723239.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2019,444281315.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2018,435998060.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2017,428315886.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2016,419808341.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2015,410190679.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2014,400231008.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2013,390954281.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2012,381030177.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2011,372054934.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2010,363568534.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2009,356386673.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2008,347684619.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2007,338947976.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2006,330526310.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2005,322628451.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2004,315060277.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2003,307815105.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2002,300691509.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2001,293580252.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '1A', 'value': 'Arab World'}",ARB,2000,286548096.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2023,3152394.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2022,3131505.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2021,3111609.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2020,3092577.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2019,3079149.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2018,3048465.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2017,3009507.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2016,2987438.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2015,2964524.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2014,2941203.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2013,2917125.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2012,2893251.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2011,2873088.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2010,2855621.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2009,2836793.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2008,2816379.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2007,2795667.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2006,2774985.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2005,2754974.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2004,2735189.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2003,2712281.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2002,2686785.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2001,2661520.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'S3', 'value': 'Caribbean small states'}",CSS,2000,2636455.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2023,100175859.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2022,100289401.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2021,100647592.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2020,102046650.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2019,102282674.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2018,102439383.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2017,102656954.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2016,102926796.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2015,103206007.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2014,103459388.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2013,103691959.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2012,103928128.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2011,104174038.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2010,104421447.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2009,104800475.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2008,105001883.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2007,105378748.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2006,105772481.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2005,106041911.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2004,106331716.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2003,106624167.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2002,106959751.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2001,107660041.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'B8', 'value': 'Central Europe and the Baltics'}",CEB,2000,108447824.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2023,3511076811.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2022,3470644834.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2021,3432026092.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2020,3396051187.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2019,3355014793.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2018,3314245247.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2017,3274060446.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2016,3233033717.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2015,3190318707.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2014,3146800078.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2013,3103677284.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2012,3058869436.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2011,3013476947.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2010,2967104472.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2009,2921563644.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2008,2875943965.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2007,2830531957.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2006,2784726644.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2005,2738846905.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2004,2693184997.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2003,2647109296.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2002,2601917557.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2001,2556335424.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'V2', 'value': 'Early-demographic dividend'}",EAR,2000,2509431470.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2023,2384463611.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2022,2379648296.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2021,2375144416.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2020,2369438682.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2019,2359771090.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2018,2347576325.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2017,2333475520.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2016,2317076058.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2015,2300844269.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2014,2284385542.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2013,2267072102.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2012,2249081393.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2011,2230826576.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2010,2214613815.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2009,2199148703.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2008,2183472438.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2007,2167046538.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2006,2150688938.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2005,2134573057.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2004,2118747885.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2003,2102761941.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2002,2086144389.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2001,2068682053.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z4', 'value': 'East Asia & Pacific'}",EAS,2000,2050149617.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2023,2137527754.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2022,2133560408.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2021,2128553744.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2020,2121866294.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2019,2112289891.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2018,2100698838.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2017,2087238522.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2016,2071486140.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2015,2056050896.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2014,2040383789.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2013,2023850158.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2012,2006566431.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2011,1989106668.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2010,1973602166.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2009,1959017463.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': '4E', 'value': 'East Asia & Pacific (excluding high income)'}",EAP,2008,1944305887.0,,,0
